"GeneID","gene"
258,"AI1F"
259,"A1M"
259,"EDC1"
259,"HCP"
259,"HI30"
259,"IATIL"
259,"ITI"
259,"ITIL"
259,"ITILC"
259,"UTI"
262,"ADOMETDC"
262,"AMD"
262,"SAMDC"
265,"AI1E"
265,"AIH1"
265,"ALGN"
265,"AMG"
265,"AMGL"
265,"AMGX"
266,"AMGL"
266,"AMGY"
267,"GP78"
267,"RNF45"
267,"SPG89"
268,"MIF"
268,"MIS"
269,"AMHR"
269,"MISR2"
269,"MISRII"
269,"MRII"
270,"MAD"
270,"MADA"
270,"MMDD"
271,"AMPD"
271,"PCH9"
271,"SPG63"
272,"AMPD3"
273,"AMPH1"
274,"AMPH2"
274,"AMPHL"
274,"CNM2"
274,"SH3P9"
275,"GCE"
275,"GCE2"
275,"GCST"
275,"GCVT"
275,"NKH"
276,"AMY1"
277,"AMY1"
278,"AMY1"
279,"AMY2"
279,"PA"
280,"AMY2"
280,"AMY3"
280,"HXA"
283,"ALS9"
283,"HEL168"
283,"RAA1"
283,"RNASE4"
283,"RNASE5"
284,"AGP1"
284,"AGPT"
284,"AGPT-1"
284,"ANG1"
284,"HAE5"
285,"AGPT2"
285,"ANG2"
285,"LMPHM10"
286,"ANK"
286,"SPH1"
286,"SPH2"
286,"ankyrin-1"
287,"ANK-2"
287,"CFAP87"
287,"FAP87"
287,"LQT4"
287,"brank-2"
288,"ANKYRIN-G"
288,"MRT37"
290,"AP-M"
290,"AP-N"
290,"APN"
290,"CD13"
290,"GP150"
290,"LAP1"
290,"P150"
290,"PEPN"
290,"hAPN"
291,"AAC1"
291,"ANT"
291,"ANT 1"
291,"ANT1"
291,"MTDPS12"
291,"MTDPS12A"
291,"PEO2"
291,"PEO3"
291,"PEOA2"
291,"T1"
292,"2F1"
292,"AAC2"
292,"ANT2"
292,"T2"
292,"T3"
293,"AAC3"
293,"ANT"
293,"ANT 2"
293,"ANT 3"
293,"ANT3"
293,"ANT3Y"
301,"ANX1"
301,"LPC1"
302,"ANX2"
302,"ANX2L4"
302,"CAL1H"
302,"HEL-S-270"
302,"LIP2"
302,"LPC2"
302,"LPC2D"
302,"P36"
302,"PAP-IV"
306,"ANX3"
307,"ANX4"
307,"HEL-S-274"
307,"P32.5"
307,"PAP-II"
307,"PIG28"
307,"PP4-X"
307,"ZAP36"
308,"ANX5"
308,"CPB-I"
308,"ENX2"
308,"HEL-S-7"
308,"PP4"
308,"RPRGL3"
308,"VAC-alph"
309,"ANX6"
309,"CBP68"
309,"CPB-II"
309,"p68"
309,"p70"
310,"ANX7"
310,"SNX"
310,"SYNEXIN"
311,"ALS23"
311,"ANX11"
311,"CAP-50"
311,"CAP50"
311,"IBMWMA"
312,"ANX13"
312,"ISA"
313,"AOAH"
314,"DAO2"
314,"RAO"
314,"SSAO"
316,"AO"
316,"AOH1"
317,"APAF-1"
317,"CED4"
318,"APAH1"
318,"IDDPN"
319,"Apo-F"
319,"LTIP"
320,"D9S411E"
320,"LIN10"
320,"MINT1"
320,"X11"
320,"X11A"
320,"X11ALPHA"
321,"D15S1518E"
321,"HsT16821"
321,"LIN-10"
321,"MGC:14091"
321,"MINT2"
321,"X11-BETA"
321,"X11L"
322,"FE65"
322,"MGC:9072"
322,"RIR"
323,"FE65L"
323,"FE65L1"
324,"BTPS2"
324,"DESMD"
324,"DP2"
324,"DP2.5"
324,"DP3"
324,"GS"
324,"PPP1R46"
325,"HEL-S-92n"
325,"PTX2"
325,"SAP"
326,"AIRE1"
326,"APECED"
326,"APS1"
326,"APSI"
326,"PGA1"
327,"AARE"
327,"ACPH"
327,"APH"
327,"D3F15S2"
327,"D3S48E"
327,"DNF15S2"
327,"OPH"
328,"APE"
328,"APE1"
328,"APEN"
328,"APEX"
328,"APX"
328,"HAP1"
328,"REF1"
329,"API1"
329,"HIAP2"
329,"Hiap-2"
329,"MIHB"
329,"RNF48"
329,"c-IAP1"
329,"cIAP1"
330,"AIP1"
330,"API2"
330,"CIAP2"
330,"HAIP1"
330,"HIAP1"
330,"IAP-1"
330,"MALT2"
330,"MIHC"
330,"RNF49"
330,"c-IAP2"
331,"API3"
331,"BIRC4"
331,"IAP-3"
331,"ILP1"
331,"MIHA"
331,"XLP2"
331,"hIAP-3"
331,"hIAP3"
332,"API4"
332,"EPR-1"
333,"APLP"
334,"APLP-2"
334,"APPH"
334,"APPL2"
334,"CDEBP"
335,"HPALP2"
335,"apo(a)"
336,"Apo-AII"
336,"ApoA-II"
336,"apoAII"
337,"APOA4"
338,"FCHL2"
338,"FLDB"
338,"LDLCQ4"
338,"apoB-100"
338,"apoB-48"
339,"APO1"
339,"APOBEC-1"
339,"BEDP"
339,"CDAR1"
339,"HEPR"
341,"Apo-CI"
341,"ApoC-I"
341,"apo-CIB"
341,"apoC-IB"
343,"AQP-8"
344,"APO-CII"
344,"APOC-II"
345,"APOCIII"
345,"Apo-C3"
345,"ApoC-3"
346,"APO-CIV"
346,"APOC-IV"
347,"APOD"
348,"AD2"
348,"APO-E"
348,"ApoE4"
348,"LDLCQ5"
348,"LPG"
350,"B2G1"
350,"B2GP1"
350,"BG"
351,"AAA"
351,"ABETA"
351,"ABPP"
351,"AD1"
351,"APPI"
351,"CTFgamma"
351,"CVAP"
351,"PN-II"
351,"PN2"
351,"alpha-sAPP"
351,"preA4"
353,"AMP"
353,"APRTD"
354,"APS"
354,"KLK2A1"
354,"PSA"
354,"hK3"
355,"ALPS1A"
355,"APO-1"
355,"APT1"
355,"CD95"
355,"FAS1"
355,"FASTM"
355,"TNFRSF6"
356,"ALPS1B"
356,"APT1LG1"
356,"APTL"
356,"CD178"
356,"CD95-L"
356,"CD95L"
356,"FASL"
356,"TNFSF6"
356,"TNLG1A"
357,"APXL"
357,"HSAPXL"
358,"AQP-CHIP"
358,"CHIP28"
