Adrenal_Gland_Tier_I	RET
Adrenal_Gland_Tier_II	CACNG2
Adrenal_Gland_Tier_I	KCNG4
Adrenal_Gland_Tier_II	KCNK9
Adrenal_Gland_Tier_I	PROKR1
Adrenal_Gland_Tier_II	CHRNA5
Adrenal_Gland_Tier_III	LRRN2
Adrenal_Gland_Tier_I	SEZ6L2
Adrenal_Gland_Tier_II	CHRNA7
Adrenal_Gland_Tier_III	GRID1
Adrenal_Gland_Tier_I	DLK1
Adrenal_Gland_Tier_II	ADGRA1
Adrenal_Gland_Tier_II	ARC
Adrenal_Gland_Tier_I	L1CAM
Prostate_Tier_I	ACPP
Prostate_Tier_III	CDH1
Prostate_Tier_I	FOLH1
Prostate_Tier_I	TSPAN1
Prostate_Tier_II	CHRNA2
Prostate_Tier_II	PMEPA1
Prostate_Tier_I	ABCC4
Prostate_Tier_II	TRPM4
Prostate_Tier_II	GOLM1
Prostate_Tier_III	BMPR1B
Prostate_Tier_III	SLC39A6
Prostate_Tier_I	TMEFF2
Prostate_Tier_I	TRPM8
Prostate_Tier_III	SLC2A12
Prostate_Tier_III	ASTN2
Prostate_Tier_III	CLDN8
Prostate_Tier_III	STEAP2
Prostate_Tier_III	STEAP1
Prostate_Tier_II	CLDN3
Prostate_Tier_I	OR51E2
Prostate_Tier_II	CHRM1
Prostate_Tier_I	CANT1
Prostate_Tier_I	OR51E1
Prostate_Tier_II	GABRG3
Prostate_Tier_I	TMPRSS2
Prostate_Tier_II	CLDN4
Prostate_Tier_I	SLC44A4
Rectal_Tier_I	NOX1
Rectal_Tier_III	CDH1
Rectal_Tier_III	DSG2
Rectal_Tier_III	SLC12A2
Rectal_Tier_I	CDH17
Rectal_Tier_I	CEACAM6
Rectal_Tier_III	PLEK2
Rectal_Tier_I	CEACAM5
Rectal_Tier_II	GRIN2D
Rectal_Tier_II	RNF43
Rectal_Tier_I	EPCAM
Rectal_Tier_II	TSPAN8
Rectal_Tier_I	EPHB2
Rectal_Tier_III	ST14
Rectal_Tier_II	CLDN3
Rectal_Tier_I	MUC13
Rectal_Tier_III	GPR160
Rectal_Tier_III	GPR35
Rectal_Tier_III	GRM8
Rectal_Tier_II	B3GNT3
Rectal_Tier_II	CLDN7
Rectal_Tier_II	CLDN4
Rectal_Tier_III	SLC44A4
Rectal_Tier_I	MUC12
Soft_Tissue_Tier_III	CD276
Soft_Tissue_Tier_II	MMP14
Skin_Tier_I	ABCB5
Skin_Tier_I	LZTS1
Skin_Tier_I	DCT
Skin_Tier_I	GPR143
Skin_Tier_II	SLC7A5
Skin_Tier_I	CA14
Skin_Tier_I	TRPM1
Skin_Tier_III	EDNRB
Skin_Tier_II	GPNMB
Skin_Tier_III	IGSF3
Skin_Tier_III	HMCN1
Skin_Tier_III	MYO10
Skin_Tier_II	MFSD12
