PMID35121907_TableS36_DrugDevelopment_Discovery_Precedence	gene
DrugDevelopmentLevel_Discovery_Precedence	FPR2
DrugDevelopmentLevel_Discovery_Precedence	MARK2
DrugDevelopmentLevel_Discovery_Precedence	SLC22A1
DrugDevelopmentLevel_Discovery_Precedence	AOC3
DrugDevelopmentLevel_Discovery_Precedence	GPBAR1
DrugDevelopmentLevel_Discovery_Precedence	ABCB11
DrugDevelopmentLevel_Discovery_Precedence	TRPM4
DrugDevelopmentLevel_Discovery_Precedence	F2RL1
DrugDevelopmentLevel_Discovery_Precedence	RASGRP1
DrugDevelopmentLevel_Discovery_Precedence	LPAR5
DrugDevelopmentLevel_Discovery_Precedence	RIPK1
DrugDevelopmentLevel_Discovery_Precedence	ECE1
DrugDevelopmentLevel_Discovery_Precedence	ACKR3
DrugDevelopmentLevel_Discovery_Precedence	P2RY1
DrugDevelopmentLevel_Discovery_Precedence	MPEG1
DrugDevelopmentLevel_Discovery_Precedence	PTPRG
DrugDevelopmentLevel_Discovery_Precedence	LPAR3
DrugDevelopmentLevel_Discovery_Precedence	CAMK2A
DrugDevelopmentLevel_Discovery_Precedence	NOS1
DrugDevelopmentLevel_Discovery_Precedence	LTK
DrugDevelopmentLevel_Discovery_Precedence	SLC40A1
DrugDevelopmentLevel_Discovery_Precedence	ITPR3
DrugDevelopmentLevel_Discovery_Precedence	HSD17B7
DrugDevelopmentLevel_Discovery_Precedence	ADAM10
DrugDevelopmentLevel_Discovery_Precedence	ACVR2A
DrugDevelopmentLevel_Discovery_Precedence	PRSS8
DrugDevelopmentLevel_Discovery_Precedence	GPR39
DrugDevelopmentLevel_Discovery_Precedence	DAGLB
DrugDevelopmentLevel_Discovery_Precedence	GPR4
DrugDevelopmentLevel_Discovery_Precedence	TPSG1
DrugDevelopmentLevel_Discovery_Precedence	SLC47A1
DrugDevelopmentLevel_Discovery_Precedence	GPR17
DrugDevelopmentLevel_Discovery_Precedence	ALOX15B
DrugDevelopmentLevel_Discovery_Precedence	FCGRT
DrugDevelopmentLevel_Discovery_Precedence	NPY1R
DrugDevelopmentLevel_Discovery_Precedence	APLNR
DrugDevelopmentLevel_Discovery_Precedence	FER
DrugDevelopmentLevel_Discovery_Precedence	LPAR2
DrugDevelopmentLevel_Discovery_Precedence	QRFPR
DrugDevelopmentLevel_Discovery_Precedence	PTPRB
DrugDevelopmentLevel_Discovery_Precedence	GRM1
DrugDevelopmentLevel_Discovery_Precedence	HPN
DrugDevelopmentLevel_Discovery_Precedence	PTPRS
DrugDevelopmentLevel_Discovery_Precedence	PTPRF
DrugDevelopmentLevel_Discovery_Precedence	FOLR2
DrugDevelopmentLevel_Discovery_Precedence	KCNN2
DrugDevelopmentLevel_Discovery_Precedence	PIK3C2A
DrugDevelopmentLevel_Discovery_Precedence	FFAR4
DrugDevelopmentLevel_Discovery_Precedence	ASIC3
DrugDevelopmentLevel_Discovery_Precedence	MMP15
DrugDevelopmentLevel_Discovery_Precedence	SLC13A5
DrugDevelopmentLevel_Discovery_Precedence	GIPR
