PMID35121907_TableS32_ImmAssoMolecules	gene
Immunologically_Associated_Molecules_Toll_like_receptor	TLR4
Immunologically_Associated_Molecules_IL-6_receptor_family	IL11RA
Immunologically_Associated_Molecules_B_cell_co-inhibitorCTLDs_V_NK_receptor	CD72
Immunologically_Associated_Molecules_Toll_like_receptor	TLR2
Immunologically_Associated_Molecules_Integrin	ITGA11
Immunologically_Associated_Molecules_Integrin	ITGAV
Immunologically_Associated_Molecules_Cadherin	PCDH10
Immunologically_Associated_Molecules_TGF-beta_receptor_family	BMPR1B
Immunologically_Associated_Molecules_Scavenger_receptor	SCARB2
Immunologically_Associated_Molecules_Cadherin	CLSTN3
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	KLRG1
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator	CD27
Immunologically_Associated_Molecules_TGF-beta_receptor_family	ACVRL1
Immunologically_Associated_Molecules_IntegrinT_cell_co-stimulator	ITGB7
Immunologically_Associated_Molecules_Cadherin	CDH24
Immunologically_Associated_Molecules_Tetraspanin	TSPAN3
Immunologically_Associated_Molecules_IntegrinComplement_receptor	ITGAX
Immunologically_Associated_Molecules_Cadherin	CDH11
Immunologically_Associated_Molecules_Cadherin	CDH13
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	ASGR1
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF11A
Immunologically_Associated_Molecules_Interferon_receptor_family	IFNAR1
Immunologically_Associated_Molecules_IgSF_CAMB_cell_co-inhibitor	SIGLEC10
Immunologically_Associated_Molecules_IgSF_CAM	IGLON5
Immunologically_Associated_Molecules_IL-10_receptor_family	IL22RA1
Immunologically_Associated_Molecules_Tetraspanin	CD53
Immunologically_Associated_Molecules_Cadherin	CELSR2
Immunologically_Associated_Molecules_Integrin	ITGA10
Immunologically_Associated_Molecules_IgSF_CAM	GPA33
Immunologically_Associated_Molecules_IgSF_CAM	PVRL4
Immunologically_Associated_Molecules_Fc_Receptor	FCGR2A
Immunologically_Associated_Molecules_Fc_Receptor	FCRL5
Immunologically_Associated_Molecules_Atypical_chemokine_Receptor	ACKR3
Immunologically_Associated_Molecules_IgSF_CAM	CNTN4
Immunologically_Associated_Molecules_Atypical_chemokine_Receptor	ACKR2
Immunologically_Associated_Molecules_Integrin	ITGA9
Immunologically_Associated_Molecules_IL-17_receptor_family	IL17RD
Immunologically_Associated_Molecules_IgSF_CAM	IGSF11
Immunologically_Associated_Molecules_IgSF_CAM	BOC
Immunologically_Associated_Molecules_Mucin	MUC4
Immunologically_Associated_Molecules_Cadherin	CDH18
Immunologically_Associated_Molecules_IL-6_receptor_family	OSMR
Immunologically_Associated_Molecules_Scavenger_receptor	MEGF10
Immunologically_Associated_Molecules_T_cell_co-stimulator/co-inhibitor	TIMD4
Immunologically_Associated_Molecules_Cadherin	PCDHB18P
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF21
Immunologically_Associated_Molecules_IgSF_CAM	SDK1
Immunologically_Associated_Molecules_IL-2_receptor_family	IL2RG
Immunologically_Associated_Molecules_Cadherin	CDHR1
Immunologically_Associated_Molecules_IgSF_CAM	LRRC4C
Immunologically_Associated_Molecules_IgSF_CAM	NCAM1
Immunologically_Associated_Molecules_Tetraspanin	ROM1
Immunologically_Associated_Molecules_IgSF_CAM	ESAM
Immunologically_Associated_Molecules_IgSF_CAM	MPZL2
Immunologically_Associated_Molecules_Cadherin	CDH22
Immunologically_Associated_Molecules_IgSF_CAM	CNTN5
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	KLRF1
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC1A
Immunologically_Associated_Molecules_IntegrinT_cell_co-stimulator	ITGB1
Immunologically_Associated_Molecules_Cadherin	PCDH15
Immunologically_Associated_Molecules_Fc_Receptor	FCGR1A
Immunologically_Associated_Molecules_Cadherin	CDH8
Immunologically_Associated_Molecules_T_cell_co-stimulator	CD226
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC4F
Immunologically_Associated_Molecules_CTLDs_VI_MMR_family	PLA2R1
Immunologically_Associated_Molecules_IgSF_CAMNK_cell_co-inhibitor	CD96
Immunologically_Associated_Molecules_IgSF_CAM	THY1
Immunologically_Associated_Molecules_Cadherin	CDH12
Immunologically_Associated_Molecules_IgSF_CAM	CXADR
Immunologically_Associated_Molecules_CTLDs_VIII_Type_1_receptor	CHODL
Immunologically_Associated_Molecules_IgSF_CAM	NCAM2
Immunologically_Associated_Molecules_IgSF_CAM	JAM2
Immunologically_Associated_Molecules_NK_cell_co-stimulator	RAET1L
Immunologically_Associated_Molecules_Tetraspanin	TSPAN7
Immunologically_Associated_Molecules_Cadherin	PCDH1
Immunologically_Associated_Molecules_IgSF_CAM	LRFN2
Immunologically_Associated_Molecules_IgSF_CAM	UNC5D
Immunologically_Associated_Molecules_Integrin	ITGAD
Immunologically_Associated_Molecules_Tetraspanin	TSPAN18
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator/co-inhibitor	TNFRSF14
Immunologically_Associated_Molecules_Cadherin	CLSTN2
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	COLEC12
Immunologically_Associated_Molecules_Tetraspanin	TSPAN33
Immunologically_Associated_Molecules_T_cell_co-stimulator	SLAMF8
Immunologically_Associated_Molecules_IgSF_CAM	F11R
Immunologically_Associated_Molecules_TNF	EDA
Immunologically_Associated_Molecules_Fc_ReceptorNK_cell_co-stimulator	FCER1G
Immunologically_Associated_Molecules_IgSF_CAM	MPZ
Immunologically_Associated_Molecules_Interferon_receptor_family	IFNAR2
Immunologically_Associated_Molecules_Interferon_receptor_family	IFNGR2
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyB_cell_co-stimulator	TNFRSF13C
Immunologically_Associated_Molecules_T_cell_co-stimulator	ICOSLG
Immunologically_Associated_Molecules_IntegrinComplement_receptor	ITGB2
Immunologically_Associated_Molecules_IgSF_CAM	AMICA1
Immunologically_Associated_Molecules_C-X-C_motif_chemokine_Receptor	CXCR5
Immunologically_Associated_Molecules_IL-6_receptor_family	IL6R
Immunologically_Associated_Molecules_C-C_motif_chemokine_Receptor	CCR5
Immunologically_Associated_Molecules_Fc_Receptor	FCRL3
Immunologically_Associated_Molecules_Integrin	ITGA5
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC11
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC16
Immunologically_Associated_Molecules_Ligand_CXCScavenger_receptor	CXCL16
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	ASGR2
Immunologically_Associated_Molecules_IL-12_receptor_family	IL23R
Immunologically_Associated_Molecules_IgSF_CAM	VCAM1
Immunologically_Associated_Molecules_IgSF_CAM	CADM3
Immunologically_Associated_Molecules_T_cell_co-stimulator	SLAMF9
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-stimulator	SLAMF6
Immunologically_Associated_Molecules_Fc_Receptor	FCGR3B
Immunologically_Associated_Molecules_Fc_Receptor	FCMR
Immunologically_Associated_Molecules_Fc_Receptor	FCAMR
Immunologically_Associated_Molecules_C-X-C_motif_chemokine_Receptor	CXCR1
Immunologically_Associated_Molecules_TGF-beta_receptor_family	TGFBR2
Immunologically_Associated_Molecules_Fc_Receptor	FCRL4
Immunologically_Associated_Molecules_IgSF_CAM	NFASC
Immunologically_Associated_Molecules_Fc_Receptor	FCRL1
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CTLA4
Immunologically_Associated_Molecules_T_cell_co-stimulator	ICOS
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CD200R1
Immunologically_Associated_Molecules_IL-17_receptor_family	IL17RE
Immunologically_Associated_Molecules_IL-17_receptor_family	IL17RC
Immunologically_Associated_Molecules_C-C_motif_chemokine_Receptor	CCR1
Immunologically_Associated_Molecules_Mucin	EMCN
Immunologically_Associated_Molecules_Integrin	ITGA2
Immunologically_Associated_Molecules_IL-6_receptor_family	IL31RA
Immunologically_Associated_Molecules_NK_cell_co-stimulator	RAET1E
Immunologically_Associated_Molecules_NK_cell_co-stimulator	SYK
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CYBB
Immunologically_Associated_Molecules_Cadherin	PCDH19
Immunologically_Associated_Molecules_Cadherin	FAT3
Immunologically_Associated_Molecules_IgSF_CAM	LRFN5
Immunologically_Associated_Molecules_IgSF_CAM	HEPACAM
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC1B
Immunologically_Associated_Molecules_Cadherin	RET
Immunologically_Associated_Molecules_T_cell_co-inhibitor	BTNL9
Immunologically_Associated_Molecules_IgSF_CAM	JAM3
Immunologically_Associated_Molecules_IgSF_CAM	CLMP
Immunologically_Associated_Molecules_Cadherin	DCHS1
Immunologically_Associated_Molecules_CTLDs_X_Polycystin_family	PKD1L2
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC4E
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC4D
Immunologically_Associated_Molecules_Cadherin	CDH16
Immunologically_Associated_Molecules_T_cell_co-inhibitor	LAIR1
Immunologically_Associated_Molecules_NK_cell_co-inhibitor	KIR3DL1
Immunologically_Associated_Molecules_T_cell_co-stimulator	TMIGD2
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CD300A
Immunologically_Associated_Molecules_Scavenger_receptor	SCARA5
Immunologically_Associated_Molecules_C-X-3-C_motif_chemokine_Receptor	CX3CR1
Immunologically_Associated_Molecules_IL-2_receptor_family	IL7R
Immunologically_Associated_Molecules_Tetraspanin	TSPAN5
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-inhibitor	SIGLEC7
Immunologically_Associated_Molecules_Mucin	MUC15
Immunologically_Associated_Molecules_Cadherin	PCDH7
Immunologically_Associated_Molecules_IgSF_CAM	ROBO1
Immunologically_Associated_Molecules_Mucin	MUC17
Immunologically_Associated_Molecules_Mucin	MUC3A
Immunologically_Associated_Molecules_IntegrinComplement_receptor	ITGAM
Immunologically_Associated_Molecules_IgSF_CAM	ALCAM
Immunologically_Associated_Molecules_Scavenger_receptor	CD14
Immunologically_Associated_Molecules_Cadherin	CDH2
Immunologically_Associated_Molecules_IgSF_CAM	DSCAM
