PMID35121907_TableS2_GESPGenes ,gene
SurfaceomeIgSF_CAMT cell co-stimulator,SLAMF6
SurfaceomeT cell co-stimulator,LY9
SurfaceomeT cell co-inhibitor,CD200R1
SurfaceomeTransporter,SLCO4A1
SurfaceomeIntegrinT cell co-stimulator,ITGB7
Surfaceome,PLXNA4
SurfaceomeIgSF_CAMB cell co-inhibitor,SIGLEC10
SurfaceomeEnzyme,ZDHHC5
SurfaceomeEnzyme,SPPL2B
SurfaceomeEnzyme,FAP
SurfaceomeGPCR,MRGPRF
SurfaceomeIonChannel,GRIA2
Surfaceome,PLXNA3
Surfaceome,SEMA6D
Surfaceome,GFRA3
SurfaceomeKinase,KDR
Surfaceome,CD1C
SurfaceomeEnzyme,ADAM12
SurfaceomeScavenger receptor,CD68
SurfaceomeSelectinCTLDs IV Selectin,SELP
SurfaceomeIL-6 receptor family,LEPR
Surfaceome,DNER
SurfaceomeImmunoglobulin-like family of IL-1 receptors,IL1R2
SurfaceomeIL-2 receptor familyT cell co-stimulator,IL2RB
Surfaceome,APLP1
SurfaceomeCadherin,CDH5
SurfaceomeOther,KITLG
SurfaceomeKinase,CSF1R
SurfaceomeIntegrin,ITGA9
SurfaceomeCadherin,PCDH17
SurfaceomeCadherin,PCDHGB4
SurfaceomeGPCR,LPAR4
SurfaceomeEnzyme,ALPP
SurfaceomeTransporter,SLC2A4
SurfaceomeFc ReceptorNK cell co-stimulator,FCGR3A
SurfaceomeMucin,MUC4
Surfaceome,CD1B
SurfaceomeKinaseTGF-beta receptor family,ACVR2B
SurfaceomeEnzyme,ENPEP
Surfaceome,LRP2
SurfaceomeCTLDs V NK receptor,CLEC5A
SurfaceomeTransporter,SLCO4C1
Surfaceome,PARM1
Surfaceome,SORCS1
SurfaceomeIonChannel,LRRC26
Surfaceome,PROM2
SurfaceomeCadherin,PCDHGC5
SurfaceomeCadherin,PCDHGA12
SurfaceomeCadherin,PCDHGB7
SurfaceomeCadherin,PCDHGB5
SurfaceomeNK cell co-inhibitor,KIR3DL1
SurfaceomeCadherin,PCDHGB1
SurfaceomeCadherin,PCDHGA9
SurfaceomeCadherin,PCDHGA8
Surfaceome,PRNP
SurfaceomeIntegrin,ITGAV
SurfaceomeEnzyme,LNPEP
Surfaceome,SYPL1
Surfaceome,LDLR
Surfaceome,NOTCH1
Surfaceome,HLA-A
SurfaceomeTransporter,SLC7A1
SurfaceomeScavenger receptor,SCARB1
Surfaceome,ENG
Surfaceome,CD59
SurfaceomeIntegrin,ITGA2
SurfaceomeIntegrin,ITGA6
SurfaceomeIntegrin,ITGA1
Surfaceome,TPBG
Surfaceome,CNNM4
Surfaceome,TMEM30A
SurfaceomeTNFT cell co-stimulator,CD70
SurfaceomeEnzyme,PLAUR
Surfaceome,HLA-C
SurfaceomeT cell co-stimulator/co-inhibitor,CD276
Surfaceome,APLP2
SurfaceomeTransporter,SLC12A2
SurfaceomeKinase,EPHB3
SurfaceomeEnzyme,RHBDF2
SurfaceomeEnzymeIgSF_CAM,SIRPA
Surfaceome,FAM171A1
Surfaceome,HEG1
SurfaceomeCTLDs XI Attractin family,ATRN
SurfaceomeGPCR,F2R
SurfaceomeGPCR,ADGRE2
Surfaceome,JAG1
SurfaceomeIgSF_CAM,ICAM2
SurfaceomeEnzyme,GGT1
SurfaceomeKinase,EPHB4
Surfaceome,EMB
Surfaceome,AGRN
SurfaceomeEnzyme,ADCY3
SurfaceomeEnzyme,ADCY9
Surfaceome,PLXNC1
SurfaceomeTetraspanin,TSPAN15
Surfaceome,RELL1
Surfaceome,CD74
SurfaceomeGPCR,FZD2
SurfaceomeGPCR,OPRK1
SurfaceomeGPCRC-X-C motif chemokine Receptor,CXCR1
SurfaceomeGPCR,APLNR
SurfaceomeTransporter,ABCB1
SurfaceomeIL-3 receptor family,CSF2RB
Surfaceome,RECK
SurfaceomeT cell co-stimulator/co-inhibitor,CD86
SurfaceomeTetraspanin,CD63
SurfaceomeOther,CSF1
Surfaceome,FLRT3
SurfaceomeTetraspanin,CD82
SurfaceomeTransporter,ABCA7
SurfaceomeIntegrin,ITGA11
SurfaceomeCTLDs V NK receptor,CLEC12A
SurfaceomeEnzyme,QSOX2
SurfaceomeKinase,EPHA5
SurfaceomeEnzyme,PPAP2B
Surfaceome,TENM2
Surfaceome,CRIM1
SurfaceomeTransporter,SLC11A2
SurfaceomeB cell co-stimulator,CD19
SurfaceomeGPCR,HTR2B
SurfaceomeGPCR,AGTR2
SurfaceomeKinase,FLT3
Surfaceome,CD79A
SurfaceomeCadherin,CDH11
Surfaceome,CD34
SurfaceomeKinase,MST1R
SurfaceomeScavenger receptor,MSR1
Surfaceome,PROM1
SurfaceomeB cell co-stimulatorComplement receptor,CR2
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,TNFRSF25
SurfaceomeFc Receptor,FCGR2A
Surfaceome,CD6
SurfaceomeTransporter,SLC5A3
Surfaceome,PEAR1
SurfaceomeEnzyme,NLGN2
Surfaceome,TMEM245
SurfaceomeTetraspanin,CD53
Surfaceome,TMEM8A
SurfaceomeIgSF_CAM,ESAM
SurfaceomeTransporter,SLCO3A1
Surfaceome,KIAA0319L
SurfaceomeKinase,FGFR2
SurfaceomeGPCRC-C motif chemokine Receptor,CCR7
SurfaceomeGPCRC-X-C motif chemokine Receptor,CXCR3
SurfaceomeGPCRC-C motif chemokine Receptor,CCR4
SurfaceomeScavenger receptor,CD14
SurfaceomeGPCR,LTB4R
SurfaceomeGPCRC-X-C motif chemokine Receptor,CXCR5
Surfaceome,CDON
SurfaceomeGPCR,ADGRL4
SurfaceomeGPCR,F2RL3
Surfaceome,FLRT2
SurfaceomeKinase,FGFR3
Surfaceome,CD3D
SurfaceomeT cell co-stimulator/co-inhibitor,CD80
SurfaceomeIL-2 receptor family,IL2RA
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF11A
SurfaceomeEnzyme,PTPRZ1
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF17
SurfaceomeTGF-beta receptor family,TGFBR3
SurfaceomeKinase,EPHA3
Surfaceome,LRP12
SurfaceomeIgSF_CAM,CHL1
SurfaceomeKinase,EPHA1
SurfaceomeTransporter,SLC7A2
SurfaceomeIL-2 receptor family,IL13RA2
SurfaceomeIL-10 receptor family,IL10RA
Surfaceome,SEMA4F
Surfaceome,THSD7A
SurfaceomeCadherin,CDH19
Surfaceome,AMIGO2
SurfaceomeCadherin,DCHS1
Surfaceome,SGCD
Surfaceome,SELPLG
Surfaceome,PILRA
Surfaceome,SLITRK4
Surfaceome,CEACAM6
Surfaceome,CEACAM5
Surfaceome,GFRA1
SurfaceomeGPCR,ADGRF5
SurfaceomeGPCR,HTR7
Surfaceome,FRAS1
Surfaceome,SEMA4G
SurfaceomeKinase,FGFR4
SurfaceomeIonChannel,CHRNA3
Surfaceome,CD5
Surfaceome,CRB3
SurfaceomeIgSF_CAMT cell co-stimulator,CD28
SurfaceomeKinase,TYRO3
Surfaceome,CD3G
SurfaceomeTransporter,SLC5A1
SurfaceomeTransporter,SLC29A4
SurfaceomeIgSF_CAM,UNC5A
SurfaceomeIgSF_CAM,CADM3
Surfaceome,RTN4R
Surfaceome,FREM2
Surfaceome,RAMP3
SurfaceomeTransporter,SLC23A2
Surfaceome,SEMA6B
SurfaceomeCadherin,CDH15
SurfaceomeIonChannel,GRIK3
SurfaceomeTransporter,SLC9A4
Surfaceome,C6orf25
SurfaceomeTransporter,SLC5A7
SurfaceomeCadherin,PCDHA11
SurfaceomeIonChannel,ASIC1
SurfaceomeTetraspaninB cell co-stimulator,CD81
SurfaceomeTransporter,ATP2B1
SurfaceomeTransporter,ATP1A1
SurfaceomeTransporter,SLC16A1
Surfaceome,PROCR
Surfaceome,RTN4
SurfaceomeIntegrin,ITGA5
Surfaceome,LAMP1
Surfaceome,CD46
Surfaceome,HLA-B
SurfaceomeGPCRC-X-C motif chemokine Receptor,CXCR4
SurfaceomeKinase,PTK7
SurfaceomeTransporter,SLC31A1
SurfaceomeEnzyme,PTPRG
SurfaceomeEnzyme,PSEN1
SurfaceomeEnzyme,PTPRF
Surfaceome,PTGFRN
SurfaceomeTransporter,SLC1A4
Surfaceome,IGSF8
SurfaceomeKinase,AXL
SurfaceomeIgSF_CAMT cell co-stimulator,CD58
SurfaceomeIgSF_CAM,BCAM
Surfaceome,SEMA4C
SurfaceomeTetraspanin,TSPAN14
Surfaceome,THBS1
SurfaceomeGPCRC-C motif chemokine Receptor,CCR5
Surfaceome,HLA-DRB1
SurfaceomeGPCR,SMO
Surfaceome,MFI2
SurfaceomeGPCR,PTAFR
SurfaceomeEnzyme,ENTPD1
SurfaceomeTransporter,ABCG2
Surfaceome,ST14
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,CD40
Surfaceome,HFE
SurfaceomeT cell co-inhibitor,CD200
SurfaceomeIgSF_CAM,ICAM5
Surfaceome,SDC4
SurfaceomeT cell co-inhibitor,BTN3A1
SurfaceomeIonChannel,PIEZO1
SurfaceomeTransporter,SLC2A5
Surfaceome,HLA-F
SurfaceomeEnzyme,ATP6V0A1
Surfaceome,HLA-DQA1
SurfaceomeGPCR,FZD6
SurfaceomeEnzyme,CPD
SurfaceomeGPCR,FZD7
SurfaceomeGPCR,NPY1R
SurfaceomeTransporter,SLC38A1
SurfaceomeEnzyme,BST1
SurfaceomeT cell co-inhibitor,PDCD1LG2
