PMID35121907_TableS2_GESPGenes ,gene
SurfaceomeGPCR,P2RY13
SurfaceomeGPCR,ADGRE1
SurfaceomeGPCR,OR2W3
SurfaceomeTransporter,SLC36A1
SurfaceomeGPCR,CCKBR
SurfaceomeGPCR,FZD8
SurfaceomeGPCR,FFAR2
Surfaceome,LRP10
SurfaceomeGPCR,OXER1
SurfaceomeGPCRComplement receptor,C5AR2
SurfaceomeGPCR,HRH2
SurfaceomeGPCR,GPR18
SurfaceomeGPCR,SSTR3
SurfaceomeGPCR,NPBWR1
SurfaceomeGPCRAtypical chemokine Receptor,ACKR2
SurfaceomeGPCR,GHSR
SurfaceomeScavenger receptor,SCARF2
SurfaceomeGPCR,NPSR1
SurfaceomeGPCR,RXFP4
SurfaceomeIonChannel,SCN5A
SurfaceomeGPCRAtypical chemokine Receptor,ACKR4
SurfaceomeGPCR,GPR85
SurfaceomeGPCR,GNRHR
SurfaceomeGPCR,GPR61
SurfaceomeGPCR,GPR84
SurfaceomeGPCR,GPRC5D
SurfaceomeGPCR,GPRC6A
SurfaceomeGPCR,OR2B6
SurfaceomeGPCR,TAAR1
SurfaceomeGPCR,RXFP2
SurfaceomeGPCR,TACR3
SurfaceomeEnzyme,PTPRQ
SurfaceomeGPCR,GPR62
SurfaceomeGPCR,HTR1F
SurfaceomeGPCR,GHRHR
SurfaceomeGPCR,MC3R
SurfaceomeGPCR,OR1L8
SurfaceomeGPCR,GPR150
SurfaceomeGPCR,TAAR9
SurfaceomeGPCR,OR1F1
SurfaceomeGPCR,HRH4
SurfaceomeGPCR,OR7A5
SurfaceomeGPCR,OR10G8
SurfaceomeGPCR,GPR139
SurfaceomeGPCR,OR14A16
SurfaceomeGPCR,GRM2
SurfaceomeGPCR,TAAR8
SurfaceomeGPCR,UTS2R
SurfaceomeGPCR,OR7A10
SurfaceomeGPCR,OR2L5
SurfaceomeGPCR,OR1E2
SurfaceomeGPCR,OR2A4
SurfaceomeGPCR,OR5I1
SurfaceomeGPCR,RXFP3
SurfaceomeGPCR,OR2C1
SurfaceomeGPCR,MRGPRX3
SurfaceomeGPCR,OR11A1
SurfaceomeGPCR,OR2T4
SurfaceomeGPCR,OR8A1
SurfaceomeIonChannel,BEST2
SurfaceomeGPCR,OR2T29
SurfaceomeGPCR,OR1J4
SurfaceomeGPCR,NPBWR2
SurfaceomeGPCR,OR2T1
SurfaceomeGPCR,OR10A3
SurfaceomeGPCR,OR2M7
SurfaceomeGPCR,OR2B2
SurfaceomeGPCR,GPR52
SurfaceomeGPCR,OR7C2
SurfaceomeGPCR,OR6F1
SurfaceomeGPCR,OR6B2
SurfaceomeGPCR,OR10H1
SurfaceomeGPCR,OR6K3
SurfaceomeGPCR,OR13A1
SurfaceomeGPCR,MLNR
SurfaceomeGPCR,MCHR2
SurfaceomeGPCR,OR1G1
SurfaceomeGPCR,OR7C1
SurfaceomeGPCR,OR10A5
SurfaceomeGPCR,OR8G5
SurfaceomeGPCR,OR2T2
SurfaceomeGPCR,OR5P2
SurfaceomeGPCR,MAS1
SurfaceomeGPCR,OR5P3
SurfaceomeGPCR,OR6K6
SurfaceomeGPCR,OR1E1
SurfaceomeGPCR,OR2T8
SurfaceomeGPCR,OR3A2
SurfaceomeGPCR,MRGPRX4
SurfaceomeGPCR,OR2AK2
SurfaceomeGPCR,OR1J2
SurfaceomeGPCR,OR7G2
SurfaceomeGPCR,OR5K2
SurfaceomeGPCR,OR7D2
SurfaceomeGPCR,VN1R2
SurfaceomeGPCR,OR11L1
SurfaceomeGPCR,OR2M3
SurfaceomeGPCR,OR5M11
SurfaceomeGPCR,OR10G2
SurfaceomeGPCR,OR4C6
SurfaceomeGPCR,MRGPRX1
SurfaceomeGPCR,OR2Z1
SurfaceomeGPCR,OR14I1
SurfaceomeGPCR,OR2T27
SurfaceomeGPCR,P2RY4
SurfaceomeGPCR,OR2M5
SurfaceomeGPCR,OR2J3
SurfaceomeGPCR,OR7E24
SurfaceomeGPCR,OR2G6
SurfaceomeGPCR,OR2G3
SurfaceomeGPCR,HTR1E
SurfaceomeGPCR,OR1J1
SurfaceomeGPCR,GPR45
SurfaceomeGPCR,OR1N2
SurfaceomeGPCR,OR6C70
SurfaceomeGPCR,OR10J5
SurfaceomeGPCR,OR6A2
SurfaceomeGPCR,OR1N1
SurfaceomeGPCR,OR4D10
SurfaceomeGPCR,OR5B12
SurfaceomeGPCR,OR1Q1
SurfaceomeGPCR,OR2T35
SurfaceomeGPCR,MRGPRG
SurfaceomeGPCR,OR10G9
SurfaceomeGPCR,GPR148
SurfaceomeGPCR,OR1I1
SurfaceomeGPCR,OR2AT4
SurfaceomeGPCR,OR2T12
SurfaceomeGPCR,OR10G3
SurfaceomeGPCR,OR6S1
SurfaceomeGPCR,OR10S1
SurfaceomeGPCR,OR6K2
SurfaceomeGPCR,OR6C2
SurfaceomeGPCR,OR1D5
SurfaceomeGPCR,OR2V2
SurfaceomeGPCR,OR51J1
SurfaceomeGPCR,OR9Q1
SurfaceomeGPCR,OR10H2
SurfaceomeGPCR,OR2G2
SurfaceomeGPCR,OR7G3
SurfaceomeGPCR,OR5A1
SurfaceomeGPCR,OR2M2
SurfaceomeGPCR,OR5F1
SurfaceomeGPCR,OR2B3
SurfaceomeGPCR,OR9A4
SurfaceomeGPCR,OR6N2
SurfaceomeGPCR,OR5M3
SurfaceomeGPCR,OR10H5
SurfaceomeGPCR,OR2AG2
SurfaceomeGPCR,OR4C3
SurfaceomeGPCR,OR2D3
SurfaceomeGPCR,OR10G7
SurfaceomeGPCR,GPR33
SurfaceomeGPCR,OR52B2
SurfaceomeGPCR,NMUR2
SurfaceomeGPCR,OR4N4
SurfaceomeGPCR,OR14K1
SurfaceomeGPCR,OR6P1
SurfaceomeGPCR,OR6Y1
SurfaceomeGPCR,OR52D1
SurfaceomeGPCR,OR6B3
SurfaceomeGPCR,OR10P1
SurfaceomeGPCR,OR6C74
SurfaceomeGPCR,OR13C3
SurfaceomeGPCR,OR56B1
SurfaceomeGPCR,OR13H1
SurfaceomeGPCR,OR5T2
SurfaceomeGPCR,GPR21
SurfaceomeGPCR,OR3A3
SurfaceomeGPCR,OR8B8
SurfaceomeGPCR,OR9G1
SurfaceomeGPCR,OR6B1
SurfaceomeGPCR,OR51G2
SurfaceomeGPCR,OR51I2
SurfaceomeGPCR,OR4D9
SurfaceomeGPCR,OR6M1
SurfaceomeGPCR,OR6X1
SurfaceomeGPCR,OR4M1
SurfaceomeGPCR,OR4E2
SurfaceomeGPCR,OR10H4
SurfaceomeGPCR,OR5M10
SurfaceomeGPCR,OR8I2
SurfaceomeGPCR,OR6C3
SurfaceomeGPCR,OR10G6
SurfaceomeGPCR,OR4D5
SurfaceomeGPCR,OR5AP2
SurfaceomeGPCR,OR2V1
SurfaceomeGPCR,OR6C1
SurfaceomeGPCR,OR10V1
SurfaceomeGPCR,OR5C1
SurfaceomeGPCR,OR52E5
SurfaceomeGPCR,OR9Q2
SurfaceomeGPCR,OR4C15
SurfaceomeGPCR,OR8J3
SurfaceomeGPCR,OR5AK2
SurfaceomeGPCR,OR4Q3
SurfaceomeGPCR,OR6J1
SurfaceomeGPCR,OR5B17
SurfaceomeGPCR,OR4C46
SurfaceomeGPCR,OR9I1
SurfaceomeGPCR,OR51V1
SurfaceomeGPCR,OR5L2
SurfaceomeGPCR,OR52H1
SurfaceomeGPCR,OR5K1
SurfaceomeGPCR,OR5H15
SurfaceomeGPCR,OR4A47
SurfaceomeGPCR,OR6V1
SurfaceomeGPCR,OR5B3
SurfaceomeGPCR,OR4D11
SurfaceomeGPCR,OR2AE1
SurfaceomeGPCR,OR8H2
SurfaceomeGPCR,OR8H1
SurfaceomeGPCR,OR4X1
SurfaceomeGPCR,OR5M9
SurfaceomeGPCR,OR1S2
SurfaceomeGPCR,OR5AS1
SurfaceomeGPCR,OR4F15
SurfaceomeGPCR,OR8K1
SurfaceomeGPCR,OR5B21
SurfaceomeGPCR,OR5D18
SurfaceomeGPCR,OR13D1
SurfaceomeGPCR,OR9G4
SurfaceomeGPCR,OR4C13
SurfaceomeGPCR,OR6C68
SurfaceomeGPCR,OR9A2
SurfaceomeGPCR,OR1L6
SurfaceomeGPCR,OR4C11
SurfaceomeGPCR,OR6C4
SurfaceomeGPCR,OR2AP1
SurfaceomeGPCR,OR5M8
SurfaceomeGPCR,OR8H3
SurfaceomeGPCR,OR5D16
SurfaceomeGPCR,OR6C65
SurfaceomeGPCR,OR6C75
SurfaceomeGPCR,OR8K5
SurfaceomeGPCR,OR8J1
SurfaceomeGPCR,OR1L1
SurfaceomeGPCR,OR13C8
SurfaceomeGPCR,OR6C6
SurfaceomeGPCR,OR13C4
SurfaceomeGPCR,OR1L4
SurfaceomeGPCR,OR5J2
SurfaceomeGPCR,OR5K3
SurfaceomeGPCR,OR1L3
SurfaceomeGPCR,OR8U1
SurfaceomeGPCR,OR5H1
SurfaceomeGPCR,OR5D14
SurfaceomeGPCR,OR4S2
SurfaceomeIonChannel,ANO1
SurfaceomeTNF,TNFSF11
SurfaceomeTransporter,SLC6A3
SurfaceomeKinase,ROS1
SurfaceomeTransporter,SLC45A2
Surfaceome,DLK1
Surfaceome,CD52
SurfaceomeEnzyme,MMP16
SurfaceomeIonChannel,KCNK9
SurfaceomeEnzyme,NOX4
SurfaceomeTNFT cell co-stimulator,TNFSF4
SurfaceomeSelectinCTLDs IV Selectin,SELE
SurfaceomeProlactin receptor family,EPOR
SurfaceomeEnzyme,DCT
Surfaceome,TGFA
Surfaceome,CD8A
SurfaceomeNK cell co-stimulatorCTLDs V NK receptor,KLRC2
Surfaceome,CD1E
Surfaceome,DLL1
Surfaceome,TREM2
SurfaceomeIonChannel,CHRNB4
Surfaceome,BAMBI
Surfaceome,GJA3
SurfaceomeTransporter,SLC52A3
Surfaceome,EREG
Surfaceome,PLP1
SurfaceomeTransporter,SLC1A1
SurfaceomeTransporter,SLC11A1
SurfaceomeEnzymeOther,FLT3LG
SurfaceomeTransporter,SLC44A4
SurfaceomeIonChannel,CACNA1A
SurfaceomeEnzyme,PTPRU
SurfaceomeTransporter,SLC15A1
SurfaceomeIonChannel,P2RX2
SurfaceomeTNFT cell co-stimulator,TNFSF14
SurfaceomeEnzyme,TMPRSS6
SurfaceomeEnzyme,MGAM
SurfaceomeIonChannel,GRIN2D
SurfaceomeIonChannel,CHRNA2
SurfaceomeTransporter,SLC12A5
SurfaceomeEnzyme,PLB1
SurfaceomeTransporter,SLC22A1
SurfaceomeTransporter,SLC22A12
SurfaceomeIonChannel,KCNJ15
SurfaceomeIgSF_CAM,HEPACAM
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,TNFRSF18
SurfaceomeMucin,MUC13
Surfaceome,LRP1B
SurfaceomeIgSF_CAM,DSCAM
Surfaceome,CLDN8
SurfaceomeIonChannel,KCND3
SurfaceomeIonChannel,CLCNKB
SurfaceomeIonChannel,SCNN1B
Surfaceome,SGCA
Surfaceome,CLDN18
SurfaceomeInterferon receptor family,IFNGR2
SurfaceomeEnzyme,DPP10
SurfaceomeMucin,EMCN
SurfaceomeIL-6 receptor family,IL31RA
Surfaceome,TM4SF5
SurfaceomeEnzyme,ADCY8
SurfaceomeEnzyme,DUOX1
SurfaceomeTransporter,SLC7A8
SurfaceomeCadherin,CDH20
SurfaceomeEnzyme,ADCY2
Surfaceome,LAX1
SurfaceomeIgSF_CAM,DSCAML1
SurfaceomeEnzyme,ADCY5
SurfaceomeTransporter,SLC8A3
SurfaceomeTransporter,SLC6A13
SurfaceomeIonChannel,TTYH1
SurfaceomeCadherin,PCDHB8
SurfaceomeCadherin,PCDHB9
SurfaceomeTransporter,SLC7A3
SurfaceomeCadherin,CDH16
SurfaceomeTetraspanin,TSPAN12
Surfaceome,TMEM200C
SurfaceomeEnzyme,TMPRSS11D
SurfaceomeCadherin,PCDHB16
SurfaceomeTransporter,SLC22A17
SurfaceomeTransporter,SLC24A4
SurfaceomeCadherin,PCDHB7
SurfaceomeIonChannel,TMC7
SurfaceomeCadherin,CDHR2
SurfaceomeIonChannel,GRIN2C
SurfaceomeIonChannel,KCNJ4
SurfaceomeTransporter,SLC2A6
SurfaceomeTransporter,SLC13A3
Surfaceome,CLDN10
SurfaceomeTransporter,SLC22A7
SurfaceomeEnzyme,STEAP2
Surfaceome,AMN
Surfaceome,CLDN19
Surfaceome,IL18RAP
SurfaceomeIonChannel,KCNJ12
SurfaceomeIonChannel,KCNJ3
SurfaceomeTransporter,SLC2A12
SurfaceomeCadherin,PCDHB10
SurfaceomeCadherin,PCDHB13
Surfaceome,ERVMER34-1
Surfaceome,GPR155
Surfaceome,RHAG
Surfaceome,SYT6
SurfaceomeTransporter,SLC17A1
SurfaceomeEnzyme,KEL
SurfaceomeMucin,MUC21
SurfaceomeTransporter,SLC16A8
Surfaceome,SHISA9
SurfaceomeCadherin,PCDHB14
SurfaceomeTumor necrosis factor receptor superfamily,EDA2R
Surfaceome,UNC93A
SurfaceomeCadherin,PCDH12
SurfaceomeEnzyme,ZDHHC23
SurfaceomeTransporter,SLC4A10
SurfaceomeIonChannel,GABRQ
SurfaceomeKinase,EPHA10
SurfaceomeTransporter,SLC51B
SurfaceomeIL-2 receptor family,IL9R
SurfaceomeCadherin,PCDHAC2
SurfaceomeTransporter,SLC39A2
SurfaceomeCadherin,PCDHB15
Surfaceome,GJC3
SurfaceomeIgSF_CAM,SIGLEC12
Surfaceome,TRAT1
SurfaceomeTransporter,SLC10A6
Surfaceome,CAV3
SurfaceomeTransporter,SLC52A1
Surfaceome,RAMP2
Surfaceome,GRAMD1C
SurfaceomeScavenger receptor,MEGF10
SurfaceomeIonChannel,BEST4
SurfaceomeIonChannel,GRIN3B
Surfaceome,KCNE5
SurfaceomeCadherin,PCDHB5
Surfaceome,FAM174B
SurfaceomeIonChannel,KCNV2
SurfaceomeTransporter,SLCO1C1
Surfaceome,TMEM108
Surfaceome,TP53I13
Surfaceome,TMEM132E
SurfaceomeEnzyme,NLGN4Y
Surfaceome,MFSD2B
SurfaceomeIonChannel,CACNG3
Surfaceome,KIAA0195
Surfaceome,GJA8
Surfaceome,TMEM150A
SurfaceomeNK cell co-inhibitor,KIR2DL1
SurfaceomeCadherin,PCDHB3
SurfaceomeTransporter,SLC26A8
SurfaceomeTransporter,SLC22A8
SurfaceomeIonChannel,GABRR2
Surfaceome,GP1BB
Surfaceome,VSTM1
Surfaceome,ZAN
SurfaceomeIonChannel,CHRNA6
SurfaceomeIonChannel,ZACN
SurfaceomeIonChannel,CHRNG
SurfaceomeIonChannel,PANX3
SurfaceomeIonChannel,GABRR1
SurfaceomeTransporter,SLC6A5
SurfaceomeIonChannel,HTR3C
SurfaceomeIonChannel,KCNV1
Surfaceome,IL1RAPL1
SurfaceomeTransporter,SLCO1B7
Surfaceome,PTCHD1
SurfaceomeCadherin,DSG4
SurfaceomeGPCR,GPR119
SurfaceomeIonChannel,GABRR3
SurfaceomeIonChannel,KCNJ18
SurfaceomeIonChannel,GLRA4
Surfaceome,DYNAP
Surfaceome,CLDN22
SurfaceomeCadherin,PCDHA3
SurfaceomeCadherin,PCDHB1
SurfaceomeIonChannel,LRRC52
SurfaceomeCadherin,PCDHA12
Surfaceome,GJD4
SurfaceomeCTLDs V NK receptor,KLRF2
Surfaceome,GFRAL
SurfaceomeIonChannel,HTR3E
SurfaceomeIonChannel,HTR3D
SurfaceomeIonChannel,KCNA6
SurfaceomeGPCR,OR4C5
SurfaceomeCadherin,PCDHAC1
SurfaceomeGPCR,OR51B5
SurfaceomeGPCR,OR10A7
SurfaceomeEnzyme,PTPRN2
Surfaceome,TDGF1
Surfaceome,CD24
SurfaceomeTNFB cell co-stimulator,TNFSF13B
Surfaceome,NOTCH4
Surfaceome,EFNA3
Surfaceome,NTNG1
SurfaceomeEnzyme,PRSS8
Surfaceome,OMG
SurfaceomeEnzyme,TRABD2A
SurfaceomeIgSF_CAM,IGLON5
SurfaceomeEnzyme,NAALADL1
SurfaceomeEnzyme,PLSCR1
Surfaceome,TCTN2
Surfaceome,NPHS1
Surfaceome,TTC17
Surfaceome,RTN4RL2
SurfaceomeEnzyme,ENPP6
SurfaceomeGPCR,GNRHR2
SurfaceomeGPCR,ADGRE4P
SurfaceomeGPCR,OR52Z1
SurfaceomeGPCR,OR52B4
SurfaceomeGPCR,OR11H7
SurfaceomeGPCR,OR52L2P
SurfaceomeGPCR,OR51B2
SurfaceomeGPCR,OR52P1P
SurfaceomeGPCR,OR52A4P
Surfaceome,PDGFC
Surfaceome,SCUBE1
Surfaceome,RTN4RL1
Surfaceome,GFRA4
SurfaceomeCadherin,PCDHB18P
Surfaceome,OR51G1
Surfaceome,GNAI2
Surfaceome,LRRC8A
Surfaceome,GNAS
SurfaceomeEnzyme,HM13
Surfaceome,HSP90AA1
Surfaceome,HSP90AB1
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF10B
SurfaceomeEnzyme,ASPH
Surfaceome,TMEM2
Surfaceome,TMEM206
Surfaceome,LMAN2
Surfaceome,SNAP23
Surfaceome,MAGT1
Surfaceome,CTNND1
Surfaceome,DYSF
Surfaceome,MYO1C
SurfaceomeTransporter,SLC2A14
SurfaceomeTransporter,ABCB6
SurfaceomeCTLDs II Type 2 receptor,COLEC12
Surfaceome,PLXDC2
SurfaceomeTransporter,SLC43A3
Surfaceome,LRPAP1
SurfaceomeGPCR,P2RY12
SurfaceomeGPCR,PTGER4
Surfaceome,AP2M1
Surfaceome,DSP
Surfaceome,RGMB
Surfaceome,LIMA1
SurfaceomeGPCR,CALCR
SurfaceomeIonChannel,TRPM2
Surfaceome,LRRC15
SurfaceomeEnzyme,ACPP
Surfaceome,ACTN1
SurfaceomeIonChannel,TRPA1
SurfaceomeT cell co-inhibitor,LILRB4
SurfaceomeB cell co-inhibitorCTLDs V NK receptor,CD72
Surfaceome,IFITM1
SurfaceomeIgSF_CAMT cell co-inhibitor,LILRB2
SurfaceomeEnzyme,ERMP1
Surfaceome,TMEM259
Surfaceome,GPR108
Surfaceome,CTNNB1
SurfaceomeEnzyme,ADA
SurfaceomeKinase,PTK2B
Surfaceome,TJP1
Surfaceome,SCRIB
Surfaceome,DLG1
SurfaceomeGPCR,CRHR1
SurfaceomeKinase,YES1
SurfaceomeEnzyme,RAB13
SurfaceomeGPCR,P2RY14
Surfaceome,LAMTOR1
SurfaceomeGPCR,FFAR1
SurfaceomeEnzyme,CA9
SurfaceomeKinase,MYLK
Surfaceome,COL17A1
SurfaceomeIonChannel,CLCN2
Surfaceome,MAL2
SurfaceomeTransporter,ABCA6
SurfaceomeTransporter,SLC20A1
SurfaceomeEnzyme,ADD1
Surfaceome,TREML2
SurfaceomeFc Receptor,FCRL1
SurfaceomeT cell co-inhibitor,CD300A
SurfaceomeEnzyme,ELFN2
SurfaceomeT cell co-inhibitor,CD300LF
Surfaceome,KIAA1549L
SurfaceomeIonChannel,KCNK10
Surfaceome,TMEM123
SurfaceomeCTLDs XIII IDD,DGCR2
Surfaceome,SERINC5
Surfaceome,MEGF9
Surfaceome,TMEM179B
Surfaceome,TM2D3
Surfaceome,C6orf89
SurfaceomeEnzyme,NAGPA
SurfaceomeIonChannel,PKD2L1
SurfaceomeKinase,LYN
SurfaceomeGPCR,DRD2
SurfaceomeKinase,SRC
SurfaceomeGPCR,P2RY2
Surfaceome,RDX
SurfaceomeGPCR,VIPR2
Surfaceome,LAT
SurfaceomeTransporter,SLC27A1
SurfaceomeGPCR,GPR82
SurfaceomeGPCR,NPY5R
SurfaceomeT cell co-inhibitor,HAVCR2
SurfaceomeTransporter,ABCA3
SurfaceomeKinase,DDR1
SurfaceomeTransporter,SLC1A2
SurfaceomeKinase,HCK
SurfaceomeT cell co-inhibitor,LAG3
SurfaceomeTransporter,SLC16A4
SurfaceomeEnzyme,PSEN2
SurfaceomeKinaseT cell co-stimulator,EPHB6
SurfaceomeToll like receptor,TLR10
Surfaceome,LY6E
SurfaceomeEnzyme,SGMS2
Surfaceome,TMEM154
SurfaceomeIL-2 receptor family,IL15RA
SurfaceomeIonChannel,CACNG2
SurfaceomeCTLDs VIII Type 1 receptor,LAYN
Surfaceome,RAMP1
SurfaceomeEnzyme,MMP15
SurfaceomeIonChannel,GABRG2
SurfaceomeEnzyme,ADAM23
SurfaceomeEnzyme,ENTPD2
Surfaceome,LRIG2
SurfaceomeTransporter,ABCC10
Surfaceome,VSIG4
Surfaceome,EVC2
SurfaceomeEnzyme,LCT
SurfaceomeEnzyme,DPEP2
SurfaceomeTransporter,SLC7A9
Surfaceome,KIRREL2
Surfaceome,TMEM119
SurfaceomeTransporter,ATP8A2
Surfaceome,SUSD3
Surfaceome,SSPN
SurfaceomeKinase,LMTK2
Surfaceome,CD300C
Surfaceome,SECTM1
Surfaceome,LRRC8B
SurfaceomeIonChannel,KCNK17
SurfaceomeCTLDs II Type 2 receptor,CLEC4A
SurfaceomeTransporter,SLC23A3
Surfaceome,TMEM219
Surfaceome,MANSC1
Surfaceome,CNTNAP3
Surfaceome,LYSMD3
Surfaceome,LRRC8E
SurfaceomeCadherin,PCDHA2
SurfaceomeEnzyme,MARCKS
SurfaceomeGPCR,PTGER1
SurfaceomeKinase,FYN
SurfaceomeGPCR,MC2R
SurfaceomeGPCR,ADGRV1
Surfaceome,NRG3
SurfaceomeGPCR,FPR2
SurfaceomeIonChannel,BEST1
SurfaceomeGPCR,FZD3
SurfaceomeGPCR,AVPR2
SurfaceomeGPCR,GPR37
SurfaceomeGPCR,GPR87
Surfaceome,DISP2
SurfaceomeGPCR,PTH2R
SurfaceomeNK cell co-inhibitor,KIR2DL4
SurfaceomeGPCR,GPR146
SurfaceomeGPCR,ADRA2B
Surfaceome,ANK2
Surfaceome,SYTL2
SurfaceomeGPCR,LPAR2
SurfaceomeIL-6 receptor family,IL11RA
Surfaceome,PTCHD4
SurfaceomeGPCR,GPR153
Surfaceome,CYTH1
SurfaceomeGPCR,SCTR
SurfaceomeGPCR,GPR19
SurfaceomeGPCR,PRLHR
SurfaceomeGPCR,GPR161
SurfaceomeGPCR,TAS2R14
SurfaceomeGPCR,GPR141
Surfaceome,MPP5
SurfaceomeGPCR,VN1R1
SurfaceomeGPCR,OPN1SW
SurfaceomeGPCR,GPR88
SurfaceomeGPCR,GPR83
SurfaceomeGPCR,OPN3
SurfaceomeGPCR,GPR75
SurfaceomeGPCR,ADGRG5
SurfaceomeEnzyme,PLBD2
SurfaceomeGPCR,NTSR2
SurfaceomeEnzyme,IYD
SurfaceomeGPCR,ADGRG3
SurfaceomeGPCR,FPR3
Surfaceome,ORAI3
SurfaceomeGPCR,HCAR1
SurfaceomeGPCR,TAS2R46
SurfaceomeEnzyme,SSH1
SurfaceomeGPCR,OPRM1
SurfaceomeGPCR,ADGRG7
Surfaceome,UMODL1
Surfaceome,SVIL
SurfaceomeGPCR,OR10R2
Surfaceome,PKP4
Surfaceome,PRTG
SurfaceomeGPCR,TAS2R4
SurfaceomeGPCR,OR2A7
SurfaceomeGPCR,MC5R
SurfaceomeGPCR,OPN4
SurfaceomeGPCR,MRGPRD
SurfaceomeGPCR,OR7A17
SurfaceomeGPCR,GPR182
SurfaceomeGPCR,OR10K2
SurfaceomeGPCR,RRH
SurfaceomeGPCR,OR2B11
SurfaceomeGPCR,OR10K1
SurfaceomeGPCR,GPR32
SurfaceomeGPCR,OR8D4
SurfaceomeGPCR,GPR12
SurfaceomeGPCR,OR2L3
SurfaceomeGPCR,TAAR2
SurfaceomeGPCR,OR2L13
SurfaceomeGPCR,CRHR2
SurfaceomeGPCR,FFAR3
SurfaceomeGPCR,OR4N2
SurfaceomeGPCR,NPY4R
SurfaceomeGPCR,GPR78
SurfaceomeGPCR,OR4K17
SurfaceomeGPCR,ADGRG4
SurfaceomeGPCR,MRGPRX2
SurfaceomeGPCR,GPR26
SurfaceomeGPCR,OR11H1
SurfaceomeGPCR,OR2H1
SurfaceomeGPCR,OR2K2
SurfaceomeGPCR,OR4K1
SurfaceomeGPCR,TAAR6
SurfaceomeGPCR,GPR152
SurfaceomeGPCR,OR10T2
SurfaceomeGPCR,MRGPRE
SurfaceomeGPCR,OR2T33
SurfaceomeGPCR,OR6N1
SurfaceomeGPCR,OR13J1
SurfaceomeGPCR,OR4F4
SurfaceomeGPCR,OR2W1
SurfaceomeGPCR,OR3A1
SurfaceomeGPCR,OR1C1
SurfaceomeGPCR,OR2T10
SurfaceomeGPCR,OR2M4
SurfaceomeGPCR,ADGRD2
SurfaceomeGPCR,OR4N5
SurfaceomeGPCR,OR1M1
SurfaceomeGPCR,OR10AG1
SurfaceomeGPCR,OR8D1
SurfaceomeGPCR,OR7D4
SurfaceomeGPCR,OR13G1
SurfaceomeGPCR,OR10AD1
SurfaceomeGPCR,OR10J1
SurfaceomeGPCR,OR13C5
SurfaceomeGPCR,TAS2R16
SurfaceomeGPCR,OR2T6
SurfaceomeGPCR,OR2L2
SurfaceomeGPCR,OR10Q1
SurfaceomeGPCR,VN1R4
SurfaceomeGPCR,OR11H6
SurfaceomeGPCR,TAAR5
SurfaceomeGPCR,OR10J3
SurfaceomeGPCR,OR14C36
SurfaceomeGPCR,OPN1LW
SurfaceomeGPCR,OR10Z1
SurfaceomeGPCR,OR5H6
SurfaceomeGPCR,OR7G1
SurfaceomeGPCR,OR5H2
SurfaceomeGPCR,GPR6
SurfaceomeGPCR,OR2AJ1
SurfaceomeGPCR,OR4F17
SurfaceomeGPCR,OR4K2
SurfaceomeGPCR,OR10W1
SurfaceomeGPCR,OR10A4
SurfaceomeGPCR,OR4K14
SurfaceomeGPCR,OR11G2
SurfaceomeGPCR,OR5H14
SurfaceomeGPCR,OR11H12
SurfaceomeGPCR,OR2T34
SurfaceomeGPCR,OR10G4
SurfaceomeGPCR,OR4M2
SurfaceomeGPCR,OR4K15
SurfaceomeGPCR,OR2Y1
SurfaceomeGPCR,OR2D2
SurfaceomeGPCR,OR2T3
SurfaceomeGPCR,OR4D1
SurfaceomeGPCR,OR4L1
SurfaceomeGPCR,OR5AU1
SurfaceomeGPCR,OR5M1
SurfaceomeGPCR,OR2F2
SurfaceomeGPCR,OR14A2
SurfaceomeGPCR,OR5W2
SurfaceomeGPCR,OR4F21
SurfaceomeGPCR,OR10D3
SurfaceomeGPCR,OR4S1
SurfaceomeGPCR,OR1A2
SurfaceomeGPCR,OR8B12
SurfaceomeGPCR,OR1A1
SurfaceomeGPCR,OR4A16
SurfaceomeGPCR,OR4K5
SurfaceomeGPCR,OR4C12
SurfaceomeGPCR,OR5AC2
SurfaceomeGPCR,OR1K1
SurfaceomeGPCR,OR5K4
SurfaceomeGPCR,OR5B2
SurfaceomeGPCR,OR13C2
SurfaceomeGPCR,OR4P4
SurfaceomeGPCR,OR8G1
SurfaceomeGPCR,OR4K13
SurfaceomeGPCR,OR2A14
SurfaceomeGPCR,OR13C9
SurfaceomeGPCR,OR4B1
SurfaceomeGPCR,OR9K2
SurfaceomeGPCR,OR4A5
SurfaceomeGPCR,OR4D6
SurfaceomeGPCR,OR4F5
SurfaceomeGPCR,OR5A2
SurfaceomeGPCR,OR2A5
SurfaceomeGPCR,OR4F6
SurfaceomeGPCR,OR2A25
SurfaceomeGPCR,OR2A2
SurfaceomeGPCR,OR2A12
SurfaceomeGPCR,OR6Q1
SurfaceomeGPCR,OR2AG1
SurfaceomeGPCR,OR8B4
SurfaceomeTNF,FASLG
SurfaceomeProlactin receptor family,PRLR
SurfaceomeEnzyme,KL
SurfaceomeEnzyme,HAS2
SurfaceomeEnzyme,BACE2
Surfaceome,TREM1
SurfaceomeIonChannel,MLC1
Surfaceome,DLL4
SurfaceomeTransporter,SLC18A2
SurfaceomeIonChannel,KCNK5
SurfaceomeIonChannel,KCNMB2
SurfaceomeT cell co-stimulator,ICOS
